乳腺癌骨转移全身疼痛怎么办	乳腺癌骨转移有救吗？	0.0
乳腺癌转移到肺能活多久	乳腺癌转移肝能活多久？	0.0
妊娠期高血压的概念	什么是妊娠高血压	1.0
骨折了又是高血压怎么办	推荐吃什么药平时饮食方面吃什么又降血压又可解决贫血的问题的	0.0
重型乙肝治愈率有多高	丙肝的治愈率大吗比乙肝严重吗	0.0
艾滋病会不会通过蚊子传播	如果蚊子吸了艾滋病人的血，那么艾滋病毒在多长时间会被灭活破坏	0.0
乳腺增生和乳腺癌有什么区别	乳腺增生与乳腺癌有什么区别	1.0
舌吻会传染艾滋病吗	如果小姐有艾滋病，我有口腔溃肠，她没有，我和她舌吻了，我的感染几率大吗	1.0
乳腺癌淋巴转移怎么治疗	77岁老人患乳腺癌已转移淋巴该怎样治疗?	1.0
糖尿病过十几年后会不会发展成尿毒症?	糖尿病能吃能吃大枣么吗	0.0
乳腺癌早期有可能有哪些症状	乳腺癌的早期症状都有哪些呢？	1.0
糖尿病人，胃底静脉曲张，去医院哪个科室	糖尿病全身浮肿怎么办	0.0
糖尿病低血糖是什么原因	糖尿病血糖低是怎么回事	1.0
吃饭能传染乙肝么	能和有乙肝抗体但没有乙肝的人在一起吃饭吗	1.0
乳腺癌晚期怎么办	乳腺癌晚期已经吃不下东西了这个怎么办	1.0
乙肝抗病毒耐药，该怎么办	乙肝后吃贺普丁耐药怎么办	1.0
正在吃药的糖尿病人适合喝绿豆汤吗	糖尿病人可以喝粥，喝豆浆吗	1.0
妊娠期糖尿病如何治疗	怀孕7个月检查出来糖尿病，怎么办	1.0
请输入您提问的内容高血压患者在练习瑜伽时，应该注意哪些问题	您好！我血压偶尔会到90150，但一般情况是80135，我能在10度的室内泳池游泳吗？	0.0
孕期糖尿病筛查多少钱？	糖尿病能能吃炒鸡蛋吗	0.0
胰高血糖素调节血糖升高的原理是什么？	请问糖尿病是怎样得的？	0.0
请问老人高血压应该吃什么药比较好？？	老人高血压中风吃什么好？	1.0
您好，二型糖尿病的人饮食注意什么	请问二型糖尿病患者平时需要注意的饮食有	1.0
国家提供免费检测HIV服务吗	我是长春人不知道哪有免费的而且有初筛资格hiv检测的地方啊	0.0
早期糖尿病如何治疗和....	检查是否患有糖尿病有哪些项目	0.0
两个月宝宝打完乙肝疫苗后多久可以洗澡	打了乙肝疫苗为何还会被传染	0.0
糖尿病人适合哪些工作	患糖尿病工作能不能吃苦	1.0
国家提供免费检测HIV服务吗	感染艾滋病国家有免费治疗的吗到什么地方去治疗	0.0
关于糖尿病出现低血糖怎么办	我有低血压和轻微的糖尿病怎么治	0.0
糖尿病患者手脚发麻怎么治疗	针灸能否治疗糖尿病神经病变引起的肢体麻木	0.0
糖尿病人可以吃深海鱼油吗	糖尿病人能吃螺旋澡深海鱼油大豆卵磷脂吗	1.0
糖尿病和肝脏有关系吗	糖尿病肾病（尿蛋白3+）能治愈吗？	0.0
乙肝表面抗体阳性，e抗体阳性，核心抗体阳性严重吗	乙肝孕妇要做哪些检查	0.0
男性糖尿病会传染吗	糖尿病发生性生活会传染吗	1.0
尿糖2个加号是不是糖尿病	我的尿检的葡萄糖含量是三，请问可能是糖尿病吗？	1.0
糖尿病人可以喝葡萄糖饮料吗？	糖尿病能吃木糖醇吗	1.0
糖尿病引发的皮肤病怎么办	糖尿病引发的皮肤病怎么治疗	1.0
乳腺癌中期怎么办	乳腺癌中期怎么治，	1.0
如何预防高血压并发症？	有没有预防高血压的西药？	0.0
糖尿病人能燕麦面吗	糖尿病能否吃桂格燕麦片	1.0
糖尿病引起脑挭塞能治好吗	糖尿病可以完全治好吗	0.0
高血压患者饮食应该如何安排？	高血压中药该吃什么药呢？	0.0
糖尿病人能不能喝酸奶	怀孕8个月妊娠糖尿病怎么办	0.0
乳腺癌严重吗	乳腺癌哪个严重	0.0
黑眼圈一定是乙肝吗	乙肝患者有严重的黑眼圈是正常的吗	1.0
我是否得糖尿病	怎样知道自己是否得了糖尿病？	1.0
艾滋病早期症状特点	艾滋病前期有些什么症状	1.0
糖尿病酮症酸中毒的临床表现	糖尿病酮症时可以用二甲双瓜和格列奇特吗	0.0
三氧自体血回输疗法真的能治疗乙肝么还	转氨酶升高，该如何治疗	0.0
乳腺癌肝转移怎么治疗	乳腺癌切除后，有转移。再怎么治疗还	0.0
乙肝携带者是要吃药好还是打针好呢或者随它去不管它	深圳好的中医治乙肝医院	0.0
乙肝小三阳是什么	怎么回事怎么回事怎么回事怎么回事怎么回事	0.0
高血压与心肌炎有什么关系	H型高血压的概念	0.0
为什么打了乙肝疫苗六	注射乙肝疫苗后，没有产生抗体，怎么办	1.0
一个糖尿病在四季睡眠应怎样调理	贫血和低血糖还会得糖尿病吗？	0.0
糖尿病人能喝豆浆和能吃豆腐吗	糖尿病吃豆腐会怎样	1.0
干细胞移植能治疗糖尿病吗？	糖尿病尿蛋白2+怎么治？	0.0
刚查出糖尿病，全身发冷，乏力是为什么？	糖尿病可以通过锻炼和饮食来控制血糖吗？	0.0
乳腺癌淋巴转移怎么治疗	乳腺癌淋巴结转移到肺旁边怎么治疗	0.0
儿童打了乙肝疫苗，但没有抗体，是怎么回事	孩子打了三针乙肝疫苗为何没有抗体	1.0
带套不带套性交做爱感染艾滋病的几率分别多大	和艾滋病做爱被传染几率有几大谁能给我准	1.0
39岁高血压四年，今年想要个孩子，有危险么？	怎样判断是否高血压	0.0
乙肝患者为什么会出现黄疸	乙肝患者身上出现淤青是什么原因	0.0
糖尿病人的注意事项	糖尿病人注射胰岛素，大概费用时多少？？？？？	0.0
您好，请问糖尿病导致失明怎么治疗？	糖尿病人失明后能否复明？	1.0
艾滋病会传染吗	口交会传染艾滋病吗，如果女方有艾滋会传染	0.0
糖尿病人自买的胰岛素可以报销吗	糖尿病的相关症状	0.0
乳腺癌肝转移有什么症状	我的乳腺癌肝转移了吗	0.0
乳腺疾病会导致乳腺癌吗	乳腺疾病会不会发展成乳腺癌症呢？	1.0
急！！请问惠来哪药店有卖《优思灵30R》胰岛素?	糖尿病患者如何做好口腔护理？	0.0
高血压突然晕倒怎么办	高血压有什么食疗方法吗	0.0
孕妇糖尿病检查前需注意事项	孕期糖耐量检查前一晚上饱食，第二天9点半测试，行吗	1.0
高龄老人高血压如何护理	冬季高血压患者生活禁忌	1.0
艾滋病会不会通过蚊子传播	如果和艾滋病患者被同一只蚊子咬了会不会感染	1.0
糖尿病足部中指溃疡怎么治	糖尿病烂腿的治疗方法	1.0
乳腺癌手术后还能活多久	乳腺癌晚期扩散到淋巴了还能活多久？	0.0
糖尿病人出汗是甜的吗	糖尿病人的汗液含有糖分吗	1.0
高血压时间不长吃西药什么品牌较好	高血压吃什么药要好一点	1.0
小孩得糖尿病能治愈吗	糖尿病会得褥疮吗	0.0
怀孕时血糖值5·3是有任娠时糖尿病吗？	血糖量6.2，是妊娠期糖尿病吗？	1.0
糖尿病患者为什么多尿	糖尿病人尿频怎么回事	1.0
乙型肝炎病毒相关性肾炎发病位置在哪	乙型肝炎病毒我是哪一类的传染	0.0
带安全套和朋友做爱性交会感染艾滋病吗	如果朋友没有艾滋病，我和她无套做爱，会传染艾滋病吗	0.0
舌吻会传染艾滋病吗	口。。交和舌吻会传播艾滋病吗一个女的帮我口，和她舌吻了，会传染吗	0.0
糖尿病人吃药后低血糖反应怎么办	糖尿病人出现低血压怎么办	1.0
乙肝失眠是怎么回事	乙肝患者失眠多梦是怎么回事	1.0
乳腺癌晚期怎样止痛	乳腺癌晚期怎么治疗，	0.0
医生你好，血糖值在10.6，是糖尿病吗	糖尿病人能打葡萄糖吗	0.0
1型糖尿病胰岛素打不下来怎么办?	2型糖尿病人可以用中药泡脚吗？有什么中	0.0
消瘦型糖尿病患者预后怎样	请问大夫，二型糖尿病人，如何过..	0.0
什么是糖尿病多发性神经炎	什么是糖尿病体型	0.0
预防艾滋病aids有没有什么好办法	怎样有效预防艾滋病	1.0
糖尿病能吃万艾可吗	糖尿病人会性欲减退能服用壮阳药吗	1.0
乙肝五项正常检验结果	结果正常吗	0.0
乳腺癌各个时期的特征是什么	乳腺癌有那些特征	0.0
糖尿病人早餐吃鸡蛋喝牛奶好吗	糖尿病能吃蒸鸡蛋吗	1.0
垂体瘤会导致乳腺癌吗	日常的一些习惯会导致乳腺癌？	0.0
糖尿病为何用药血糖还是增高呢	糖尿病一直用药，为何空腹血糖降不下来_糖尿病	1.0
糖尿病有什么中医治疗方法	糖尿病可以用中药治疗吗？谢谢	1.0
乳腺癌骨转移有什么特效药	乳腺癌术后骨转移如何治疗？	0.0
有高血压胆囊炎怎么治疗	有糖尿病，高血压，吃什么要对胆囊炎好	1.0
糖尿病人能服蜂蜜吗	请问医生：糖尿病人可以吃蜂王浆吗?	1.0
饭后血糖什么时间测	糖尿病老人饭后血糖降到一点一是什么原因	0.0
手淫自慰是否会感染艾滋病	和朋友互相手淫会感染艾滋病吗	1.0
糖尿病能用足底按摩器吗	按摩器适合糖尿病人群吗	1.0
糖尿病患者过夫妻生活时病情会否传染	糖尿病可过夫妻性生活吗，会传染吗？	1.0
糖尿病和肺结核病同时携带者应如何治疗??	同时得了糖尿病和肺结核应该怎么办?	1.0
哺乳期妇女能接种乙肝疫苗吗	哺乳期可以打乙肝疫苗吗	1.0
糖尿病人能多喝水吗	血糖、尿糖和糖耐量试验的英文缩写是什么	0.0
乳腺癌肝转移怎么治疗	乳腺癌术后淋巴转移怎么治疗	0.0
什么是肾源性高血压检查怎么	肾性高血压的概念	1.0
艾滋病吃什么好	艾滋病的人不能吃什么呢，吃什么对身体比较好呢	1.0
乳腺增生和乳腺癌有什么区别	乳腺癌和乳腺增生的区别	1.0
乳腺癌晚期治疗偏方	寻求治疗乳腺癌ca的偏方？	0.0
糖尿病人早上空腹跑步好吗	糖尿病可以做胰岛移植手术治愈吗	0.0
治疗乙肝，干扰素那里有卖，一般医保可以报	检查乙肝要检查什么	0.0
乙肝患者吐血的原因有哪些	治疗乙肝携带者中医好还是西医好	0.0
GLU葡萄糖值超过多少可确认是糖尿病	怀孕血糖高是否为孕期糖尿病？	0.0
糖尿病和尿毒症有关系吗	请问得了糖尿病有哪些表现？	0.0
艾滋病早期症状特点	这算是艾滋病的早期症状吗	1.0
